time,pitch,roll,yaw
1.1449999999999976,-0.0,-4.399391698559084,0.0
1.1499999999999975,-0.0,-4.5399049973953955,0.0
1.1549999999999974,-0.0,-4.679298142605662,0.0
1.1599999999999973,-0.0,-4.817536741017077,0.0
1.1649999999999971,-0.0,-4.954586684323995,0.0
1.169999999999997,-0.0,-5.090414157503633,0.0
1.174999999999997,-0.0,-5.2249856471594045,0.0
1.1799999999999968,-0.0,-5.358267949789881,0.0
1.1849999999999967,-0.0,-5.49022817998123,0.0
1.1899999999999966,-0.0,-5.620833778521218,0.0
1.1949999999999965,-0.0,-5.750052520432694,0.0
1.1999999999999964,-0.0,-5.87785252292464,0.0
1.2049999999999963,-0.0,-6.004202253258745,0.0
1.2099999999999962,-0.0,-6.129070536529668,0.0
1.214999999999996,-0.0,-6.252426563356956,0.0
1.219999999999996,-0.0,-6.374239897486797,0.0
1.2249999999999959,-0.0,-6.494480483301738,0.0
1.2299999999999958,-0.0,-6.613118653236417,0.0
1.2349999999999957,-0.0,-6.730125135097633,0.0
1.2399999999999956,-0.0,-6.845471059286783,0.0
1.2449999999999954,-0.0,-6.959127965923041,0.0
1.2499999999999953,-0.0,-7.071067811865372,0.0
1.2549999999999952,-0.0,-7.181262977631781,0.0
1.2599999999999951,-0.0,-7.28968627421401,0.0
1.264999999999995,-0.0,-7.396310949785988,0.0
1.269999999999995,-0.0,-7.501110696304489,0.0
1.2749999999999948,-0.0,-7.604059656000201,0.0
1.2799999999999947,-0.0,-7.705132427757786,0.0
1.2849999999999946,-0.0,-7.804304073383192,0.0
1.2899999999999945,-0.0,-7.901550123756796,0.0
1.2949999999999944,-0.0,-7.9968465848707995,0.0
1.2999999999999943,-0.0,-8.090169943749371,0.0
1.3049999999999942,-0.0,-8.181497174250126,0.0
1.309999999999994,-0.0,-8.270805742745514,0.0
1.314999999999994,-0.0,-8.358073613682597,0.0
1.3199999999999938,-0.0,-8.443279255020048,0.0
1.3249999999999937,-0.0,-8.526401643540817,0.0
1.3299999999999936,-0.0,-8.607420270039333,0.0
1.3349999999999935,-0.0,-8.686315144381812,0.0
1.3399999999999934,-0.0,-8.763066800438539,0.0
1.3449999999999933,-0.0,-8.837656300886835,0.0
1.3499999999999932,-0.0,-8.910065241883581,0.0
1.354999999999993,-0.0,-8.98027575760606,0.0
1.359999999999993,-0.0,-9.048270524660099,0.0
1.3649999999999929,-0.0,-9.11403276635436,0.0
1.3699999999999928,-0.0,-9.177546256839722,0.0
1.3749999999999927,-0.0,-9.238795325112779,0.0
1.3799999999999926,-0.0,-9.297764858882426,0.0
1.3849999999999925,-0.0,-9.354440308298589,0.0
1.3899999999999924,-0.0,-9.408807689542176,0.0
1.3949999999999922,-0.0,-9.460853588275372,0.0
1.3999999999999921,-0.0,-9.510565162951458,0.0
1.404999999999992,-0.0,-9.557930147983228,0.0
1.409999999999992,-0.0,-9.602936856769361,0.0
1.4149999999999918,-0.0,-9.645574184577912,0.0
1.4199999999999917,-0.0,-9.685831611286247,0.0
1.4249999999999916,-0.0,-9.723699203976704,0.0
1.4299999999999915,-0.0,-9.759167619387416,0.0
1.4349999999999914,-0.0,-9.792228106217602,0.0
1.4399999999999913,-0.0,-9.822872507286835,0.0
1.4449999999999912,-0.0,-9.851093261547692,0.0
1.449999999999991,-0.0,-9.876883405951332,0.0
1.454999999999991,-0.0,-9.900236577165536,0.0
1.4599999999999909,-0.0,-9.92114701314474,0.0
1.4649999999999908,-0.0,-9.939609554551765,0.0
1.4699999999999906,-0.0,-9.955619646030772,0.0
1.4749999999999905,-0.0,-9.969173337331256,0.0
1.4799999999999904,-0.0,-9.980267284282695,0.0
1.4849999999999903,-0.0,-9.988898749619684,0.0
1.4899999999999902,-0.0,-9.995065603657308,0.0
1.4949999999999901,-0.0,-9.998766324816602,0.0
1.49999999999999,-0.0,-10.0,0.0
1.50499999999999,-0.0,-9.998766324816609,0.0
1.5099999999999898,-0.0,-9.995065603657325,0.0
1.5149999999999897,-0.0,-9.988898749619715,0.0
1.5199999999999896,-0.0,-9.980267284282736,0.0
1.5249999999999895,-0.0,-9.969173337331304,0.0
1.5299999999999894,-0.0,-9.955619646030833,0.0
1.5349999999999893,-0.0,-9.939609554551833,0.0
1.5399999999999892,-0.0,-9.921147013144823,0.0
1.544999999999989,-0.0,-9.900236577165625,0.0
1.549999999999989,-0.0,-9.876883405951432,0.0
1.5549999999999888,-0.0,-9.851093261547799,0.0
1.5599999999999887,-0.0,-9.822872507286954,0.0
1.5649999999999886,-0.0,-9.792228106217733,0.0
1.5699999999999885,-0.0,-9.759167619387553,0.0
1.5749999999999884,-0.0,-9.72369920397685,0.0
1.5799999999999883,-0.0,-9.685831611286401,0.0
1.5849999999999882,-0.0,-9.645574184578079,0.0
1.589999999999988,-0.0,-9.602936856769537,0.0
1.594999999999988,-0.0,-9.557930147983413,0.0
1.5999999999999879,-0.0,-9.510565162951654,0.0
1.6049999999999878,-0.0,-9.460853588275578,0.0
1.6099999999999877,-0.0,-9.408807689542387,0.0
1.6149999999999876,-0.0,-9.354440308298813,0.0
1.6199999999999875,-0.0,-9.297764858882658,0.0
1.6249999999999873,-0.0,-9.23879532511302,0.0
1.6299999999999872,-0.0,-9.177546256839975,0.0
1.6349999999999871,-0.0,-9.114032766354622,0.0
1.639999999999987,-0.0,-9.048270524660369,0.0
1.644999999999987,-0.0,-8.980275757606336,0.0
1.6499999999999868,-0.0,-8.91006524188387,0.0
1.6549999999999867,-0.0,-8.837656300887131,0.0
1.6599999999999866,-0.0,-8.763066800438839,0.0
1.6649999999999865,-0.0,-8.686315144382121,0.0
1.6699999999999864,-0.0,-8.607420270039656,0.0
1.6749999999999863,-0.0,-8.52640164354115,0.0
1.6799999999999862,-0.0,-8.443279255020382,0.0
1.684999999999986,-0.0,-8.358073613682945,0.0
1.689999999999986,-0.0,-8.270805742745866,0.0
1.6949999999999859,-0.0,-8.18149717425049,0.0
1.6999999999999857,-0.0,-8.090169943749736,0.0
1.7049999999999856,-0.0,-7.99684658487118,0.0
